Texto,Sentimiento,ciudad,Experiencia,Fecha,fuente
Excursión al Caminito del Rey,Bueno,Malaga,tour,,Civitatis
Excursión a Ronda y Setenil,Bueno,Malaga,tour,,Civitatis
Paseo en catamarán por la bahía de Málaga,Bueno,Malaga,playa,,Civitatis
Excursión a Gibraltar,Bueno,Malaga,tour,,Civitatis
Excursión a Marbella y Mijas,Bueno,Malaga,playa,,Civitatis
Traslados en Málaga,Bueno,Malaga,hotel,,Civitatis
Tour de Málaga al completo con entradas,Bueno,Malaga,cultura,,Civitatis
Excursión a Nerja y Frigiliana,Bueno,Malaga,tour,,Civitatis
Free tour por la Alcazaba y el Teatro Romano,Bueno,Malaga,cultura,,Civitatis
Tour teatralizado nocturno por el Cementerio Inglés,Bueno,Malaga,tour,,Civitatis
Visita guiada por el Museo Picasso,Bueno,Malaga,museo,,Civitatis
Tarjeta eSIM Civitatis España,Bueno,Malaga,otro,,Civitatis
Excursión a la Alhambra,Bueno,Malaga,cultura,,Civitatis
Free tour nocturno por Málaga,Bueno,Malaga,tour,,Civitatis
Visita guiada por la alcazaba y el teatro romano,Bueno,Malaga,cultura,,Civitatis
Free tour de los misterios y leyendas de Málaga,Bueno,Malaga,playa,,Civitatis
Entrada al Museo Picasso Málaga,Bueno,Malaga,museo,,Civitatis
"Hammam Al Ándalus, un baño en la historia",Bueno,Malaga,tour,,Civitatis
Espectáculo flamenco en el tablao Alegría,Bueno,Malaga,museo,,Civitatis
Autobús turístico de Málaga,Bueno,Malaga,playa,,Civitatis
Tour por Málaga con gafas de realidad virtual,Bueno,Malaga,tour,,Civitatis
Tour en segway por Málaga,Bueno,Malaga,tour,,Civitatis
"Excursión a Nerja, Frigiliana y El Acebuchal en grupo reducido",Bueno,Malaga,tour,,Civitatis
Visita guiada por el castillo de Gibralfaro,Bueno,Malaga,cultura,,Civitatis
Excursión a Córdoba con visita a la Mezquita,Bueno,Malaga,cultura,,Civitatis
Excursión a Granada con visita a la Alhambra,Bueno,Malaga,tour,,Civitatis
Excursión a Ceuta y Tetuán,Bueno,Malaga,tour,,Civitatis
Tour privado por Málaga ¡Tú eliges!,Bueno,Malaga,playa,,Civitatis
Visita guiada por la catedral y alrededores,Bueno,Malaga,cultura,,Civitatis
Tour privado en tuk tuk por Málaga,Bueno,Malaga,playa,,Civitatis
Tour de Pablo Picasso por Málaga,Bueno,Malaga,museo,,Civitatis
Tour por el Cementerio Inglés,Bueno,Malaga,playa,,Civitatis
Tour por la Málaga musulmana,Bueno,Malaga,tour,,Civitatis
Pub Crawl ¡Tour de fiesta por Málaga!,Bueno,Malaga,vida nocturna,,Civitatis
Visita guiada por el Museo Casa Natal Picasso,Bueno,Malaga,museo,,Civitatis
Excursión a Sevilla por libre,Bueno,Malaga,tour,,Civitatis
Entrada al Centre Pompidou,Bueno,Malaga,museo,,Civitatis
"Pueblos blancos de la Axarquía, Estupa Budista y Torre de la Atalaya",Bueno,Malaga,tour,,Civitatis
Tour teatralizado de la peste por Málaga,Bueno,Malaga,tour,,Civitatis
Excursión a Granada por libre,Bueno,Malaga,tour,,Civitatis
Entrada al Museo del Automóvil y la Moda,Bueno,Malaga,museo,,Civitatis
Free tour de la Inquisición por Málaga,Bueno,Malaga,tour,,Civitatis
Excursión a Álora + Cata de vinos,Bueno,Malaga,cultura,,Civitatis
Visita a las Bodegas Quitapenas,Bueno,Malaga,comida,,Civitatis
Excursión a Tánger,Neutro,Malaga,tour,,Civitatis
Espectáculo ecuestre en El Ranchito,Bueno,Malaga,museo,,Civitatis
Clase de flamenco en Málaga,Desconocido,Malaga,museo,,Civitatis
Excursión a los Dólmenes de Antequera y el Torcal,Bueno,Malaga,cultura,,Civitatis
Tour de compras por Gibraltar,Bueno,Malaga,tour,,Civitatis
Excursión a Sevilla,Bueno,Malaga,tour,,Civitatis
Entrada al Museo Casa Natal de Picasso,Bueno,Malaga,museo,,Civitatis
Entrada al Museo Carmen Thyssen,Bueno,Malaga,museo,,Civitatis
Tour en quad por el río Guadalhorce,Desconocido,Malaga,deporte,,Civitatis
Tour de la Semana Santa de Málaga,Bueno,Malaga,tour,,Civitatis
Visita guiada por el Museo Arqueológico de Málaga,Bueno,Malaga,museo,,Civitatis
Excursión a Canillas de Aceituno y El Saltillo,Bueno,Malaga,deporte,,Civitatis
Excursión privada desde Málaga,Bueno,Malaga,tour,,Civitatis
Entrada a la Colección del Museo Ruso,Bueno,Malaga,museo,,Civitatis
Paseo en catamarán por la bahía de Palma,Bueno,Mallorca,playa,,Civitatis
Tren a Sóller y paseo en barco a Sa Calobra desde Palma,Bueno,Mallorca,tour,,Civitatis
Free tour por Palma de Mallorca,Bueno,Mallorca,tour,,Civitatis
Excursión a las cuevas del Drach desde el sur de Mallorca,Bueno,Mallorca,tour,,Civitatis
Paseo en catamarán a Illetas desde Palma,Bueno,Mallorca,playa,,Civitatis
Traslados en Mallorca,Bueno,Mallorca,hotel,,Civitatis
Excursión a Cabrera y la Cueva Azul en barco,Bueno,Mallorca,tour,,Civitatis
Barco a Sa Calobra desde Sóller,Bueno,Mallorca,playa,,Civitatis
Paseo en lancha por Sa Calobra y Cala Tuent,Bueno,Mallorca,playa,,Civitatis
Excursión a las cuevas del Drach y Hams + Porto Cristo,Bueno,Mallorca,tour,,Civitatis
Excursión a las cuevas del Drach desde el norte y este de Mallorca,Bueno,Mallorca,tour,,Civitatis
"Tour de Mallorca, la vuelta a la isla, desde la zona sur",Bueno,Mallorca,tour,,Civitatis
Paseo en lancha por la cala del Moro y Es Pontàs desde Cala Figuera,Bueno,Mallorca,playa,,Civitatis
Paseo en catamarán a Es Trenc y Es Caragol,Bueno,Mallorca,playa,,Civitatis
Formentor y mercadillos típicos de Mallorca desde el sur,Bueno,Mallorca,playa,,Civitatis
Paseo en catamarán por la bahía de Alcudia,Bueno,Mallorca,playa,,Civitatis
Paseo en barco al atardecer por la bahía de Palma,Bueno,Mallorca,playa,,Civitatis
Visita guiada por la catedral de Palma,Bueno,Mallorca,cultura,,Civitatis
"Kayak, snorkel y coasteering en la bahía de Alcudia",Bueno,Mallorca,deporte,,Civitatis
Excursión en barco a Formentor desde Alcudia,Bueno,Mallorca,tour,,Civitatis
Paseo en barco con música y comida por la bahía de Palma,Bueno,Mallorca,museo,,Civitatis
Paseo en barco al atardecer por la bahía de Palma,Bueno,Mallorca,playa,,Civitatis
Entrada al Museo Rafa Nadal,Bueno,Mallorca,museo,,Civitatis
Reserva Natural de los Deltas en moto de agua desde Palma,Bueno,Mallorca,playa,,Civitatis
Paseo en barco por la bahía de Palma,Bueno,Mallorca,cultura,,Civitatis
Tour por Palma y su catedral + Valldemossa,Bueno,Mallorca,cultura,,Civitatis
Avistamiento de delfines en el sur de Mallorca,Bueno,Mallorca,playa,,Civitatis
Paddle surf al atardecer en Cala Rajada,Bueno,Mallorca,deporte,,Civitatis
Tour panorámico por Formentor + Paseo en barco,Bueno,Mallorca,playa,,Civitatis
Excursión a Cala del Moro y Cala S'Almunia,Bueno,Mallorca,playa,,Civitatis
Tour en patinete eléctrico por Palma,Bueno,Mallorca,cultura,,Civitatis
"Tour por Cabrera, la vuelta a la isla en barco",Bueno,Mallorca,tour,,Civitatis
Tour en quad por Mallorca + Snorkel desde Palma,Bueno,Mallorca,deporte,,Civitatis
Free tour de los misterios y leyendas de Palma,Bueno,Mallorca,tour,,Civitatis
"Tour de Mallorca, la vuelta a la isla",Bueno,Mallorca,tour,,Civitatis
Entrada a Palma Aquarium,Bueno,Mallorca,ocio,,Civitatis
Excursión a las cuevas del Drach de día completo desde el sur de Mallorca,Bueno,Mallorca,tour,,Civitatis
Excursión a Sóller y Valldemosa,Bueno,Mallorca,tour,,Civitatis
Excursión en moto de agua por la bahía de Alcudia,Bueno,Mallorca,playa,,Civitatis
Alquiler de llaüt con patrón en Palma de Mallorca,Bueno,Mallorca,cultura,,Civitatis
Excursión a Formentor y mercadillos típicos de Mallorca,Bueno,Mallorca,tour,,Civitatis
Free tour por Sóller,Bueno,Mallorca,cultura,,Civitatis
Tour en moto de agua por Caló des Moro,Bueno,Mallorca,playa,,Civitatis
Parasailing en Cala Bona,Bueno,Mallorca,playa,,Civitatis
Tour privado por Palma,Bueno,Mallorca,tour,,Civitatis
Paseo en catamarán por la bahía de Palma con barbacoa,Bueno,Mallorca,deporte,,Civitatis
Tour en segway por Palma,Bueno,Mallorca,tour,,Civitatis
Paseo en barco con fondo de cristal por las islas Malgrats y Toro,Bueno,Mallorca,tour,,Civitatis
Alquiler de barcos sin licencia en Puerto Andrach,Bueno,Mallorca,tour,,Civitatis
Paseo en barco por la bahía de Alcudia,Bueno,Mallorca,playa,,Civitatis
Tour en Polaris Slingshot por la Sierra de Tramontana,Bueno,Mallorca,tour,,Civitatis
Tour en moto de agua por Cala d’Or,Desconocido,Mallorca,playa,,Civitatis
Bautismo de buceo en Mallorca,Bueno,Mallorca,deporte,,Civitatis
Excursión a las cuevas del Drach para cruceros,Bueno,Mallorca,tour,,Civitatis
Tour en moto de agua por las cuevas de Artà,Bueno,Mallorca,playa,,Civitatis
Excursión a Palma y Valldemossa,Bueno,Mallorca,tour,,Civitatis
Entrada a las Cuevas de Génova en Palma de Mallorca,Bueno,Mallorca,otro,,Civitatis
"Hamman Al Ándalus, un baño en la historia",Bueno,Mallorca,tour,,Civitatis
Free tour de los piratas y corsarios,Bueno,Mallorca,tour,,Civitatis
Tour por Palma de Mallorca y Valldemosa,Bueno,Mallorca,tour,,Civitatis
Espectáculo flamenco en el tablao Alma,Bueno,Mallorca,cultura,,Civitatis
Paseo en velero por la bahía de Palma,Bueno,Mallorca,playa,,Civitatis
Entrada a Aqualand El Arenal,Bueno,Mallorca,ocio,,Civitatis
Autobús y barco turístico de Palma de Mallorca,Bueno,Mallorca,otro,,Civitatis
Tour en moto de agua por la cueva del León Marino,Desconocido,Mallorca,playa,,Civitatis
Tour por Palma para cruceros,Desconocido,Mallorca,tour,,Civitatis
Cueva de Jack Sparrow en moto de agua desde Alcudia,Bueno,Mallorca,tour,,Civitatis
Paseo en lancha rápida por la bahía de Palma,Desconocido,Mallorca,playa,,Civitatis
Tour por Palma y su catedral,Bueno,Mallorca,cultura,,Civitatis
Tour en kayak por Cala Mayor desde Cala Nova,Bueno,Mallorca,deporte,,Civitatis
Excursión a la playa de Es Trenc en barco,Bueno,Mallorca,playa,,Civitatis
Paseo a caballo por Alcudia,Bueno,Mallorca,tour,,Civitatis
Tour en moto de agua por la bahía de Palma,Bueno,Mallorca,playa,,Civitatis
"Excursión a Cala Mondragó, S'Amarador y playa Barca Trencada",Bueno,Mallorca,playa,,Civitatis
Entrada a los Jardines de Alfabia,Bueno,Mallorca,otro,,Civitatis
Entrada al Palacio Real de la Almudaina,Bueno,Mallorca,cultura,,Civitatis
Visita guiada por las cuevas dels Hams,Desconocido,Mallorca,tour,,Civitatis
Visita a la bodega Butxet,Bueno,Mallorca,comida,,Civitatis
Ferry a Menorca con Baleària desde Alcudia,Bueno,Mallorca,otro,,Civitatis
Excursión a Palma de Mallorca,Bueno,Mallorca,tour,,Civitatis
Tour por Palma con degustación de ensaimada y vinos,Bueno,Mallorca,comida,,Civitatis
Visita guiada por la Casa Hassan Fathy del Museu Sa Bassa Blanca,Desconocido,Mallorca,tour,,Civitatis
Paseo en catamarán por la bahía de Palma,Bueno,Mallorca,playa,,Civitatis
Free tour por la Palma marítima,Bueno,Mallorca,tour,,Civitatis
Paseo en catamarán por la costa este de Mallorca,Neutro,Mallorca,playa,,Civitatis
Paseo en barco por la bahía de Palma,Bueno,Mallorca,playa,,Civitatis
Entrada a las cuevas de Campanet,Bueno,Mallorca,otro,,Civitatis
Free tour de las murallas de Palma,Bueno,Mallorca,tour,,Civitatis
Paseo en barco al atardecer por la bahía de Alcudia,Desconocido,Mallorca,playa,,Civitatis
Entrada al Coliseo Balear,Neutro,Mallorca,cultura,,Civitatis
Espeleología marina en la Cova des Coloms,Bueno,Mallorca,tour,,Civitatis
Coasteering en Mallorca,Bueno,Mallorca,deporte,,Civitatis
Paseo en barco con snorkel por las Islas Malgrats desde Santa Ponsa,Bueno,Mallorca,deporte,,Civitatis
Paseo en globo por Mallorca,Bueno,Mallorca,tour,,Civitatis
Tour en moto de agua por la bahía de Palma,Bueno,Mallorca,playa,,Civitatis
Paseo en barco por Cala Egos y Puerto de Andrach,Bueno,Mallorca,playa,,Civitatis
Entrada a Marineland Mallorca,Bueno,Mallorca,otro,,Civitatis
Paseo en catamarán por la bahía de Palma al atardecer,Bueno,Mallorca,playa,,Civitatis
Tour en quad por el oeste de Mallorca,Bueno,Mallorca,deporte,,Civitatis
Paseo a caballo por Randa,Bueno,Mallorca,tour,,Civitatis
Entrada a Western Water Park,Desconocido,Mallorca,ocio,,Civitatis
Tour privado por Valldemosa ¡Tú eliges!,Bueno,Mallorca,tour,,Civitatis
Espeleología en la cueva Es Coloms,Bueno,Mallorca,playa,,Civitatis
Tour privado por Alcudia ¡Tú eliges!,Desconocido,Mallorca,tour,,Civitatis
Tour en buggy por las calas del este de Mallorca,Bueno,Mallorca,tour,,Civitatis
Paseo en lancha rápida por Palma de Mallorca,Bueno,Mallorca,tour,,Civitatis
Alquiler de motos de agua en Cala Nova,Bueno,Mallorca,playa,,Civitatis
Hard Rock Cafe Mallorca sin colas,Desconocido,Mallorca,comida,,Civitatis
Alquiler de barco con patrón en Puerto de Andrach,Desconocido,Mallorca,playa,,Civitatis
Excursión a Palma y Valldemosa,Bueno,Mallorca,tour,,Civitatis
Paddle surf en Cala Rajada,Desconocido,Mallorca,deporte,,Civitatis
Tour privado por Sóller,Desconocido,Mallorca,tour,,Civitatis
Tour en buggy por Sant Jordi y Randa,Desconocido,Mallorca,playa,,Civitatis
Tour en moto de agua por Cala Mondragó,Bueno,Mallorca,playa,,Civitatis
Tour en moto de agua al atardecer desde Alcudia,Bueno,Mallorca,tour,,Civitatis
Tour en moto de agua al atardecer por Cala Millor,Bueno,Mallorca,playa,,Civitatis
Paseo nocturno en barco por la bahía de Palma,Desconocido,Mallorca,museo,,Civitatis
Excursión a las cuevas del Hams y Dinosaurland,Bueno,Mallorca,tour,,Civitatis
Tour en moto por Mallorca,Bueno,Mallorca,playa,,Civitatis
Excursión a las cuevas dels Hams y Dinosaurland,Bueno,Mallorca,tour,,Civitatis
Tour en coche deportivo por Mallorca,Desconocido,Mallorca,tour,,Civitatis
Paddle surf en Cala Blava,Desconocido,Mallorca,deporte,,Civitatis
Tour en moto de agua por Puerto de Andrach,Desconocido,Mallorca,tour,,Civitatis
Alquiler de llaüt con patrón en Santa Ponsa,Desconocido,Mallorca,cultura,,Civitatis
"Senderismo, rápel y espeleología en Cala Falcó",Desconocido,Mallorca,deporte,,Civitatis
Buceo en Cala Portals Nous,Desconocido,Mallorca,deporte,,Civitatis
Tour en paddle surf por Cala Mayor desde Cala Nova,Desconocido,Mallorca,deporte,,Civitatis
Autobús turístico de Palma de Mallorca,Bueno,Mallorca,tour,,Civitatis
Free tour por Alcudia,Bueno,Mallorca,cultura,,Civitatis
Parasailing en El Arenal,Bueno,Mallorca,playa,,Civitatis
Snorkel en la Reserva Marina Cala Delta,Bueno,Mallorca,deporte,,Civitatis
Bautismo de buceo en la Reserva Marina Cala Delta,Bueno,Mallorca,deporte,,Civitatis
Excursión a Cala Agulla y Cala Moltó,Bueno,Mallorca,playa,,Civitatis
Tour en 4x4 por las calas del suroeste de Mallorca,Bueno,Mallorca,deporte,,Civitatis
Tour en moto de agua por la costa de Calvià,Desconocido,Mallorca,playa,,Civitatis
"Tour por el Alcázar, la Catedral y la Giralda",Bueno,Sevilla,cultura,,Civitatis
Free tour por Sevilla,Bueno,Sevilla,cultura,,Civitatis
Crucero por Sevilla,Bueno,Sevilla,tour,,Civitatis
Visita guiada por el Alcázar,Bueno,Sevilla,cultura,,Civitatis
Traslados en Sevilla,Bueno,Sevilla,hotel,,Civitatis
Paseo en barco por Sevilla con comida,Bueno,Sevilla,comida,,Civitatis
Tour por el estadio Ramón Sánchez-Pizjuán,Bueno,Sevilla,deporte,,Civitatis
Entrada a las Setas de Sevilla,Bueno,Sevilla,otro,,Civitatis
Excursión a la Alhambra de Granada,Bueno,Sevilla,cultura,,Civitatis
Tour de los misterios y leyendas de Sevilla,Bueno,Sevilla,tour,,Civitatis
Free tour por Triana,Bueno,Sevilla,tour,,Civitatis
Tarjeta eSIM Civitatis España,Bueno,Sevilla,otro,,Civitatis
Espectáculo en el Museo del Baile Flamenco,Bueno,Sevilla,museo,,Civitatis
Visita guiada por el Archivo de Indias,Bueno,Sevilla,tour,,Civitatis
Excursión a Córdoba,Bueno,Sevilla,cultura,,Civitatis
Free tour nocturno por Sevilla,Bueno,Sevilla,tour,,Civitatis
Visita guiada por la catedral de Sevilla,Bueno,Sevilla,cultura,,Civitatis
Excursión a los pueblos blancos y Ronda,Bueno,Sevilla,tour,,Civitatis
Alquiler de kayak en Sevilla,Bueno,Sevilla,deporte,,Civitatis
Paseo en barco ecológico por el río Guadalquivir,Bueno,Sevilla,tour,,Civitatis
Excursión a Itálica,Bueno,Sevilla,cultura,,Civitatis
Entrada a Isla Mágica y Agua Mágica,Bueno,Sevilla,ocio,,Civitatis
Paseo en barco por Sevilla con guía,Bueno,Sevilla,tour,,Civitatis
Free tour de los misterios y leyendas de Sevilla,Bueno,Sevilla,tour,,Civitatis
Entrada a Isla Mágica,Bueno,Sevilla,ocio,,Civitatis
Espectáculo flamenco en la Casa de la Guitarra,Bueno,Sevilla,museo,,Civitatis
Free tour por el barrio de Santa Cruz,Bueno,Sevilla,cultura,,Civitatis
Free tour por la Sevilla de las tres culturas,Bueno,Sevilla,tour,,Civitatis
Espectáculo en el Teatro Flamenco Triana,Bueno,Sevilla,museo,,Civitatis
Espectáculo en Baraka Sala Flamenca,Bueno,Sevilla,museo,,Civitatis
Entradas al Real Alcázar de Sevilla con audioguía,Desconocido,Sevilla,otro,,Civitatis
Paseo privado en calesa por Sevilla,Bueno,Sevilla,cultura,,Civitatis
Entradas a la Catedral de Sevilla y la Giralda con audioguía,Desconocido,Sevilla,cultura,,Civitatis
Entrada al Museo de las Ilusiones de Sevilla,Bueno,Sevilla,museo,,Civitatis
Espectáculo en el Teatro Flamenco Sevilla,Bueno,Sevilla,museo,,Civitatis
Show flamenco en El Palacio Andaluz,Bueno,Sevilla,cultura,,Civitatis
Entrada al Palacio de las Dueñas,Bueno,Sevilla,cultura,,Civitatis
Espectáculo flamenco en la Sala Almoraima,Bueno,Sevilla,cultura,,Civitatis
Visita guiada por el Palacio de las Dueñas,Bueno,Sevilla,cultura,,Civitatis
Tour privado por Sevilla,Bueno,Sevilla,tour,,Civitatis
Free tour por Itálica,Bueno,Sevilla,tour,,Civitatis
Excursión a Jerez y Cádiz,Bueno,Sevilla,tour,,Civitatis
"Tour por las Setas, la Macarena y el Palacio de Dueñas",Bueno,Sevilla,cultura,,Civitatis
Autobús turístico de Sevilla,Bueno,Sevilla,tour,,Civitatis
Visita guiada por la Catedral y la Giralda en grupo reducido,Desconocido,Sevilla,cultura,,Civitatis
Excursión a Doñana,Bueno,Sevilla,tour,,Civitatis
Excursión al Caminito del Rey,Bueno,Sevilla,tour,,Civitatis
Entrada al Acuario de Sevilla,Bueno,Sevilla,ocio,,Civitatis
Visita guiada por la Plaza de España y el Parque de María Luisa,Bueno,Sevilla,cultura,,Civitatis
Visita guiada por la Casa de Pilatos,Bueno,Sevilla,tour,,Civitatis
Tour por el estadio del Betis,Bueno,Sevilla,tour,,Civitatis
Espectáculo flamenco en el tablao La Cantaora,Bueno,Sevilla,museo,,Civitatis
Autobús y barco turístico de Sevilla,Bueno,Sevilla,otro,,Civitatis
Visita guiada por el Museo de Bellas Artes,Bueno,Sevilla,museo,,Civitatis
Tour privado en tuk tuk por Sevilla,Bueno,Sevilla,tour,,Civitatis
Tour por la Sevilla paranormal,Bueno,Sevilla,tour,,Civitatis
Tour en segway por Sevilla,Bueno,Sevilla,tour,,Civitatis
Excursión a Gibraltar,Bueno,Sevilla,tour,,Civitatis
Tour en bicicleta por Sevilla,Bueno,Sevilla,tour,,Civitatis
"Tour por el Alcázar, la Catedral y la Giralda en grupo reducido",Desconocido,Sevilla,cultura,,Civitatis
Tour por la Plaza de Toros de Sevilla,Bueno,Sevilla,cultura,,Civitatis
Visita guiada por el Alcázar en grupo reducido,Desconocido,Sevilla,tour,,Civitatis
Tour de misterios y leyendas de Triana,Bueno,Sevilla,tour,,Civitatis
Sesión fotográfica privada en Sevilla,Bueno,Sevilla,cultura,,Civitatis
Entrada al globo Nao Vigía,Neutro,Sevilla,otro,,Civitatis
Excursión a Tánger,Bueno,Sevilla,tour,,Civitatis
Tour por Sevilla con gafas de realidad virtual,Bueno,Sevilla,tour,,Civitatis
Visita guiada por la Macarena y su museo,Bueno,Sevilla,museo,,Civitatis
Excursión a Carmona,Bueno,Sevilla,tour,,Civitatis
Visita a la destilería Puerto de Indias,Bueno,Sevilla,otro,,Civitatis
Paseo en barco privado por el río Guadalquivir,Bueno,Sevilla,tour,,Civitatis
Tour por la Macarena + Palacio de las Dueñas,Bueno,Sevilla,cultura,,Civitatis
Entrada al Espacio Exploraterra y la nao Victoria 500,Bueno,Sevilla,otro,,Civitatis
Tour en kayak por Sevilla,Bueno,Sevilla,deporte,,Civitatis
Tour por la iglesia de San Luis,Bueno,Sevilla,cultura,,Civitatis
Free tour por el barrio de la Macarena,Bueno,Sevilla,cultura,,Civitatis
Visita guiada por el monasterio de Santa María de las Cuevas,Bueno,Sevilla,cultura,,Civitatis
Autobús entre Sevilla y el aeropuerto,Bueno,Sevilla,otro,,Civitatis
Entrada al Museo del Traje de Flamenca,Bueno,Sevilla,museo,,Civitatis
Tour privado por el Alcázar de Sevilla,Bueno,Sevilla,cultura,,Civitatis
Tour por la catedral y la iglesia del Salvador,Bueno,Sevilla,cultura,,Civitatis
Tour en patinete eléctrico por Sevilla,Bueno,Sevilla,tour,,Civitatis
Excursión privada desde Sevilla,Bueno,Sevilla,tour,,Civitatis
Excursión a la Sierra de Aracena,Bueno,Sevilla,tour,,Civitatis
Alquiler de equipo de paddle surf en Sevilla,Bueno,Sevilla,deporte,,Civitatis
Alquiler de bicicletas en Sevilla,Neutro,Sevilla,tour,,Civitatis
Tour de la Inquisición,Neutro,Sevilla,cultura,,Civitatis
Visita por la Casa de Salinas con audioguía,Bueno,Sevilla,cultura,,Civitatis
Tour privado por la catedral de Sevilla,Bueno,Sevilla,cultura,,Civitatis
Paseo a caballo por Doñana y el Aljarafe,Bueno,Sevilla,tour,,Civitatis
Visita guiada por una almazara,Bueno,Sevilla,tour,,Civitatis
Ruta de bares y tapas por Triana,Neutro,Sevilla,cultura,,Civitatis
Tour por las Setas de Sevilla con gafas de realidad virtual,Bueno,Sevilla,tour,,Civitatis
Entrada al Palacio Bucarelli con audioguía,Bueno,Sevilla,cultura,,Civitatis
Tour por Triana + Espectáculo flamenco y tapas,Bueno,Sevilla,cultura,,Civitatis
Paddle surf en el río Guadalquivir,Bueno,Sevilla,deporte,,Civitatis
Excursión a una bodega tradicional,Bueno,Sevilla,cultura,,Civitatis
"Tour privado por el Alcázar, la Catedral y la Giralda",Desconocido,Sevilla,cultura,,Civitatis
Free tour del Siglo de Oro por Sevilla,Bueno,Sevilla,tour,,Civitatis
Tour de la Semana Santa sevillana,Bueno,Sevilla,cultura,,Civitatis
Tour por la judería de Sevilla,Bueno,Sevilla,tour,,Civitatis
Tour teatralizado por Triana,Bueno,Sevilla,cultura,,Civitatis
Tour teatralizado nocturno por el cementerio de Sevilla,Bueno,Sevilla,tour,,Civitatis
Entrada al Loro Parque + Siam Park,Bueno,Tenerife,otro,,Civitatis
Entrada al Loro Parque,Bueno,Tenerife,otro,,Civitatis
Entrada a Siam Park,Bueno,Tenerife,otro,,Civitatis
Excursión al Teide + Entrada al teleférico desde el norte,Bueno,Tenerife,ocio,,Civitatis
Traslados en Tenerife,Bueno,Tenerife,hotel,,Civitatis
Avistamiento de cetáceos en Los Cristianos,Bueno,Tenerife,tour,,Civitatis
Paseo en catamarán de 3 horas con avistamiento y escucha de cetáceos,Bueno,Tenerife,playa,,Civitatis
"Excursión al Teide, Icod, Masca y Garachico desde el norte de Tenerife",Bueno,Tenerife,tour,,Civitatis
Excursión al Teide + Entrada al teleférico desde el sur,Bueno,Tenerife,ocio,,Civitatis
Senderismo nocturno por las Cañadas del Teide,Bueno,Tenerife,deporte,,Civitatis
Senderismo por el Parque Rural de Anaga,Bueno,Tenerife,deporte,,Civitatis
Paseo en velero por Los Gigantes,Bueno,Tenerife,playa,,Civitatis
Paseo en camello por El Tanque,Bueno,Tenerife,tour,,Civitatis
Paseo en goleta con avistamiento de cetáceos,Bueno,Tenerife,tour,,Civitatis
Excursión a La Gomera desde el norte de Tenerife,Bueno,Tenerife,tour,,Civitatis
Tour en buggy por el Teide,Bueno,Tenerife,tour,,Civitatis
Paseo en catamarán de 5 horas con avistamiento y escucha de cetáceos,Bueno,Tenerife,playa,,Civitatis
Excursión a La Gomera desde el sur de Tenerife,Bueno,Tenerife,comida,,Civitatis
Kayak y snorkel en Los Cristianos,Bueno,Tenerife,deporte,,Civitatis
Excursión a Masca y Los Gigantes,Bueno,Tenerife,tour,,Civitatis
Visita a una finca de plátanos de La Orotava,Bueno,Tenerife,otro,,Civitatis
Tour en quad por el Teide,Bueno,Tenerife,deporte,,Civitatis
Tour astronómico por el Teide desde el norte de Tenerife,Bueno,Tenerife,tour,,Civitatis
Free tour por La Laguna,Bueno,Tenerife,cultura,,Civitatis
Paseo en goleta con avistamiento de cetáceos y comida,Bueno,Tenerife,comida,,Civitatis
Free tour por Santa Cruz de Tenerife,Bueno,Tenerife,tour,,Civitatis
Observación de estrellas en el Teide,Bueno,Tenerife,tour,,Civitatis
Bautismo de buceo en Costa Adeje,Bueno,Tenerife,deporte,,Civitatis
Paseo en submarino por el sur de Tenerife,Bueno,Tenerife,tour,,Civitatis
"Excursión al Teide, Icod, Masca y Garachico desde el sur de Tenerife",Bueno,Tenerife,tour,,Civitatis
Entrada al Drago Milenario,Bueno,Tenerife,otro,,Civitatis
Paseo en barco por la Punta de Teno,Bueno,Tenerife,tour,,Civitatis
Excursión a La Palma + Volcán Tajogaite,Bueno,Tenerife,tour,,Civitatis
Tour en moto de agua por el sur de Tenerife,Bueno,Tenerife,tour,,Civitatis
Visita guiada por el observatorio del Teide,Bueno,Tenerife,tour,,Civitatis
Excursión a La Gomera + Tour en 4x4,Bueno,Tenerife,tour,,Civitatis
Paseo en catamarán por Costa Adeje,Bueno,Tenerife,playa,,Civitatis
Tour en kayak por la Punta de Teno,Bueno,Tenerife,deporte,,Civitatis
Paseo en goleta con avistamiento de cetáceos y comida,Bueno,Tenerife,comida,,Civitatis
Paseo en yate con avistamiento de cetáceos,Bueno,Tenerife,playa,,Civitatis
Free tour por Puerto de la Cruz,Bueno,Tenerife,tour,,Civitatis
Entrada al teleférico del Teide + Senderismo al pico,Bueno,Tenerife,ocio,,Civitatis
Free tour por La Orotava,Bueno,Tenerife,tour,,Civitatis
Avistamiento de cetáceos en Las Galletas,Bueno,Tenerife,tour,,Civitatis
Cena con espectáculo medieval en el Castillo de San Miguel,Bueno,Tenerife,cultura,,Civitatis
Tour astronómico por el Teide desde el sur de Tenerife,Bueno,Tenerife,tour,,Civitatis
Tour por Masca y los miradores del norte de Tenerife,Bueno,Tenerife,tour,,Civitatis
Tour en quad por el Teide desde el sur de Tenerife,Bueno,Tenerife,deporte,,Civitatis
Parasailing en Costa Adeje,Bueno,Tenerife,playa,,Civitatis
Paseo en velero con avistamiento de cetáceos,Bueno,Tenerife,playa,,Civitatis
Jeep safari por el Parque Nacional del Teide,Bueno,Tenerife,ocio,,Civitatis
