Year,Category,Indicator,Value,Country
2004,Outbound Expenditure,Passenger transport,134.000.000,Haiti
2004,Outbound Expenditure,Tourism expenditure in other countries,206.000.000,Haiti
2004,Outbound Expenditure,Travel,72.000.000,Haiti
2004,Outbound Expenditure,Passenger transport,56.000.000,Honduras
2004,Outbound Expenditure,Tourism expenditure in other countries,300.000.000,Honduras
2004,Outbound Expenditure,Travel,244.000.000,Honduras
2004,Outbound Expenditure,Travel,13.270.000.000,"Hong Kong, China"
2004,Outbound Expenditure,Passenger transport,61.000.000,Hungary
2004,Outbound Expenditure,Tourism expenditure in other countries,2.482.000.000,Hungary
2004,Outbound Expenditure,Travel,2.421.000.000,Hungary
2004,Outbound Expenditure,Passenger transport,2.000.000,Iceland
2004,Outbound Expenditure,Tourism expenditure in other countries,699.000.000,Iceland
2004,Outbound Expenditure,Travel,697.000.000,Iceland
2004,Outbound Expenditure,Passenger transport,967.000.000,India
2004,Outbound Expenditure,Tourism expenditure in other countries,5.783.000.000,India
2004,Outbound Expenditure,Travel,4.816.000.000,India
2004,Outbound Expenditure,Passenger transport,1.062.000.000,Indonesia
2004,Outbound Expenditure,Tourism expenditure in other countries,4.569.000.000,Indonesia
2004,Outbound Expenditure,Travel,3.507.000.000,Indonesia
2004,Outbound Expenditure,Passenger transport,309.000.000,"Iran, Islamic Republic Of"
2004,Outbound Expenditure,Tourism expenditure in other countries,4.402.000.000,"Iran, Islamic Republic Of"
2004,Outbound Expenditure,Travel,4.093.000.000,"Iran, Islamic Republic Of"
2004,Outbound Expenditure,Passenger transport,114.000.000,Ireland
2004,Outbound Expenditure,Tourism expenditure in other countries,5.291.000.000,Ireland
2004,Outbound Expenditure,Travel,5.177.000.000,Ireland
2004,Outbound Expenditure,Passenger transport,867.000.000,Israel
2004,Outbound Expenditure,Tourism expenditure in other countries,3.979.000.000,Israel
2004,Outbound Expenditure,Travel,3.112.000.000,Israel
2004,Outbound Expenditure,Passenger transport,3.605.000.000,Italy
2004,Outbound Expenditure,Tourism expenditure in other countries,24.076.000.000,Italy
2004,Outbound Expenditure,Travel,20.471.000.000,Italy
2004,Outbound Expenditure,Passenger transport,32.000.000,Jamaica
2004,Outbound Expenditure,Tourism expenditure in other countries,318.000.000,Jamaica
2004,Outbound Expenditure,Travel,286.000.000,Jamaica
2004,Outbound Expenditure,Passenger transport,9.923.000.000,Japan
2004,Outbound Expenditure,Tourism expenditure in other countries,48.175.000.000,Japan
2004,Outbound Expenditure,Travel,38.252.000.000,Japan
2004,Outbound Expenditure,Passenger transport,61.000.000,Jordan
2004,Outbound Expenditure,Tourism expenditure in other countries,585.000.000,Jordan
2004,Outbound Expenditure,Travel,524.000.000,Jordan
2004,Outbound Expenditure,Passenger transport,153.000.000,Kazakhstan
2004,Outbound Expenditure,Tourism expenditure in other countries,997.000.000,Kazakhstan
2004,Outbound Expenditure,Travel,844.000.000,Kazakhstan
2004,Outbound Expenditure,Travel,108.000.000,Kenya
2004,Outbound Expenditure,Passenger transport,1.157.000.000,"Korea, Republic Of"
2004,Outbound Expenditure,Tourism expenditure in other countries,13.507.000.000,"Korea, Republic Of"
2004,Outbound Expenditure,Travel,12.350.000.000,"Korea, Republic Of"
2004,Outbound Expenditure,Passenger transport,446.000.000,Kuwait
2004,Outbound Expenditure,Tourism expenditure in other countries,4.147.000.000,Kuwait
2004,Outbound Expenditure,Travel,3.701.000.000,Kuwait
2004,Outbound Expenditure,Passenger transport,23.000.000,Kyrgyzstan
2004,Outbound Expenditure,Tourism expenditure in other countries,73.000.000,Kyrgyzstan
2004,Outbound Expenditure,Travel,50.000.000,Kyrgyzstan
2004,Outbound Expenditure,Passenger transport,4.000.000,Lao People´S Democratic Republic
2004,Outbound Expenditure,Tourism expenditure in other countries,8.000.000,Lao People´S Democratic Republic
2004,Outbound Expenditure,Travel,4.000.000,Lao People´S Democratic Republic
2004,Outbound Expenditure,Passenger transport,51.000.000,Latvia
2004,Outbound Expenditure,Tourism expenditure in other countries,428.000.000,Latvia
2004,Outbound Expenditure,Travel,377.000.000,Latvia
2004,Outbound Expenditure,Passenger transport,549.000.000,Lebanon
2004,Outbound Expenditure,Tourism expenditure in other countries,3.719.000.000,Lebanon
2004,Outbound Expenditure,Travel,3.170.000.000,Lebanon
2004,Outbound Expenditure,Passenger transport,7.000.000,Lesotho
2004,Outbound Expenditure,Tourism expenditure in other countries,278.000.000,Lesotho
2004,Outbound Expenditure,Travel,271.000.000,Lesotho
2004,Outbound Expenditure,Passenger transport,15.000.000,Liberia
2004,Outbound Expenditure,Tourism expenditure in other countries,29.000.000,Liberia
2004,Outbound Expenditure,Travel,14.000.000,Liberia
2004,Outbound Expenditure,Passenger transport,186.000.000,Libya
2004,Outbound Expenditure,Tourism expenditure in other countries,789.000.000,Libya
2004,Outbound Expenditure,Travel,603.000.000,Libya
2004,Outbound Expenditure,Passenger transport,7.000.000,Lithuania
2004,Outbound Expenditure,Tourism expenditure in other countries,643.000.000,Lithuania
2004,Outbound Expenditure,Travel,636.000.000,Lithuania
2004,Outbound Expenditure,Passenger transport,42.359.849,Luxembourg
2004,Outbound Expenditure,Tourism expenditure in other countries,2.254.066.681,Luxembourg
2004,Outbound Expenditure,Travel,2.211.706.831,Luxembourg
2004,Outbound Expenditure,Passenger transport,17.000.000,"Macao, China"
2004,Outbound Expenditure,Tourism expenditure in other countries,399.000.000,"Macao, China"
2004,Outbound Expenditure,Travel,382.000.000,"Macao, China"
2004,Outbound Expenditure,Passenger transport,15.000.000,Madagascar
2004,Outbound Expenditure,Tourism expenditure in other countries,108.000.000,Madagascar
2004,Outbound Expenditure,Travel,93.000.000,Madagascar
2004,Outbound Expenditure,Passenger transport,10.000.000,Malawi
2004,Outbound Expenditure,Tourism expenditure in other countries,70.000.000,Malawi
2004,Outbound Expenditure,Travel,60.000.000,Malawi
2004,Outbound Expenditure,Passenger transport,644.000.000,Malaysia
2004,Outbound Expenditure,Tourism expenditure in other countries,3.822.000.000,Malaysia
2004,Outbound Expenditure,Travel,3.178.000.000,Malaysia
2004,Outbound Expenditure,Passenger transport,19.000.000,Maldives
2004,Outbound Expenditure,Tourism expenditure in other countries,75.000.000,Maldives
2004,Outbound Expenditure,Travel,56.000.000,Maldives
2004,Outbound Expenditure,Passenger transport,59.000.000,Mali
2004,Outbound Expenditure,Tourism expenditure in other countries,125.000.000,Mali
2004,Outbound Expenditure,Travel,66.000.000,Mali
2004,Outbound Expenditure,Passenger transport,36.000.000,Malta
2004,Outbound Expenditure,Tourism expenditure in other countries,291.000.000,Malta
2004,Outbound Expenditure,Travel,255.000.000,Malta
2004,Outbound Expenditure,Tourism expenditure in other countries,400.000,Marshall Islands
2004,Outbound Expenditure,Passenger transport,22.000.000,Mauritius
2004,Outbound Expenditure,Tourism expenditure in other countries,277.000.000,Mauritius
2004,Outbound Expenditure,Travel,255.000.000,Mauritius
2004,Outbound Expenditure,Passenger transport,1.075.000.000,Mexico
2004,Outbound Expenditure,Tourism expenditure in other countries,8.034.000.000,Mexico
2004,Outbound Expenditure,Travel,6.959.000.000,Mexico
2004,Outbound Expenditure,Tourism expenditure in other countries,6.700.000,"Micronesia, Federated States Of"
2004,Outbound Expenditure,Passenger transport,22.000.000,"Moldova, Republic Of"
2004,Outbound Expenditure,Tourism expenditure in other countries,135.000.000,"Moldova, Republic Of"
2004,Outbound Expenditure,Travel,113.000.000,"Moldova, Republic Of"
2004,Outbound Expenditure,Passenger transport,14.000.000,Mongolia
2004,Outbound Expenditure,Tourism expenditure in other countries,207.000.000,Mongolia
2004,Outbound Expenditure,Travel,193.000.000,Mongolia
2004,Outbound Expenditure,Travel,2.000.000,Montserrat
2004,Outbound Expenditure,Passenger transport,338.000.000,Morocco
2004,Outbound Expenditure,Tourism expenditure in other countries,912.000.000,Morocco
2004,Outbound Expenditure,Travel,574.000.000,Morocco
2004,Outbound Expenditure,Passenger transport,6.000.000,Mozambique
2004,Outbound Expenditure,Tourism expenditure in other countries,140.000.000,Mozambique
2004,Outbound Expenditure,Travel,134.000.000,Mozambique
2004,Outbound Expenditure,Passenger transport,3.000.000,Myanmar
2004,Outbound Expenditure,Tourism expenditure in other countries,32.000.000,Myanmar
2004,Outbound Expenditure,Travel,29.000.000,Myanmar
2004,Outbound Expenditure,Travel,123.000.000,Namibia
2004,Outbound Expenditure,Passenger transport,51.000.000,Nepal
2004,Outbound Expenditure,Tourism expenditure in other countries,205.000.000,Nepal
2004,Outbound Expenditure,Travel,154.000.000,Nepal
2004,Outbound Expenditure,Passenger transport,589.000.000,Netherlands
2004,Outbound Expenditure,Tourism expenditure in other countries,16.937.000.000,Netherlands
2004,Outbound Expenditure,Travel,16.348.000.000,Netherlands
2004,Outbound Expenditure,Travel,167.000.000,New Caledonia
2004,Outbound Expenditure,Travel,2.229.000.000,New Zealand
2004,Outbound Expenditure,Passenger transport,65.000.000,Nicaragua
2004,Outbound Expenditure,Tourism expenditure in other countries,154.000.000,Nicaragua
2004,Outbound Expenditure,Travel,89.000.000,Nicaragua
2004,Outbound Expenditure,Passenger transport,20.000.000,Niger
2004,Outbound Expenditure,Tourism expenditure in other countries,42.000.000,Niger
2004,Outbound Expenditure,Travel,22.000.000,Niger
2004,Outbound Expenditure,Passenger transport,30.000.000,North Macedonia
2004,Outbound Expenditure,Tourism expenditure in other countries,85.000.000,North Macedonia
2004,Outbound Expenditure,Travel,55.000.000,North Macedonia
2004,Outbound Expenditure,Passenger transport,405.000.000,Norway
2004,Outbound Expenditure,Tourism expenditure in other countries,8.894.000.000,Norway
2004,Outbound Expenditure,Travel,8.489.000.000,Norway
2004,Outbound Expenditure,Passenger transport,179.000.000,Oman
2004,Outbound Expenditure,Tourism expenditure in other countries,823.000.000,Oman
2004,Outbound Expenditure,Travel,644.000.000,Oman
2004,Outbound Expenditure,Passenger transport,344.000.000,Pakistan
2004,Outbound Expenditure,Tourism expenditure in other countries,1.612.000.000,Pakistan
2004,Outbound Expenditure,Travel,1.268.000.000,Pakistan
2004,Outbound Expenditure,Passenger transport,9.200.000,Palau
2004,Outbound Expenditure,Tourism expenditure in other countries,18.200.000,Palau
2004,Outbound Expenditure,Travel,9.000.000,Palau
2004,Outbound Expenditure,Passenger transport,55.000.000,Panama
2004,Outbound Expenditure,Tourism expenditure in other countries,294.000.000,Panama
2004,Outbound Expenditure,Travel,239.000.000,Panama
2004,Outbound Expenditure,Passenger transport,700.000,Papua New Guinea
2004,Outbound Expenditure,Tourism expenditure in other countries,71.900.000,Papua New Guinea
2004,Outbound Expenditure,Travel,71.200.000,Papua New Guinea
2004,Outbound Expenditure,Passenger transport,50.000.000,Paraguay
2004,Outbound Expenditure,Tourism expenditure in other countries,121.000.000,Paraguay
2004,Outbound Expenditure,Travel,71.000.000,Paraguay
2004,Outbound Expenditure,Passenger transport,209.000.000,Peru
2004,Outbound Expenditure,Tourism expenditure in other countries,852.000.000,Peru
2004,Outbound Expenditure,Travel,643.000.000,Peru
2004,Outbound Expenditure,Passenger transport,251.000.000,Philippines
2004,Outbound Expenditure,Tourism expenditure in other countries,1.526.000.000,Philippines
2004,Outbound Expenditure,Travel,1.275.000.000,Philippines
2004,Outbound Expenditure,Passenger transport,317.000.000,Poland
2004,Outbound Expenditure,Tourism expenditure in other countries,5.086.000.000,Poland
2004,Outbound Expenditure,Travel,4.769.000.000,Poland
2004,Outbound Expenditure,Passenger transport,606.000.000,Portugal
2004,Outbound Expenditure,Tourism expenditure in other countries,3.370.000.000,Portugal
2004,Outbound Expenditure,Travel,2.764.000.000,Portugal
2004,Outbound Expenditure,Passenger transport,499.000.000,Puerto Rico
2004,Outbound Expenditure,Tourism expenditure in other countries,1.584.000.000,Puerto Rico
2004,Outbound Expenditure,Travel,1.085.000.000,Puerto Rico
2004,Outbound Expenditure,Travel,691.000.000,Qatar
2004,Outbound Expenditure,Passenger transport,133.000.000,Romania
2004,Outbound Expenditure,Tourism expenditure in other countries,672.000.000,Romania
2004,Outbound Expenditure,Travel,539.000.000,Romania
2004,Outbound Expenditure,Passenger transport,797.000.000,Russian Federation
2004,Outbound Expenditure,Tourism expenditure in other countries,16.082.000.000,Russian Federation
2004,Outbound Expenditure,Travel,15.285.000.000,Russian Federation
2004,Outbound Expenditure,Travel,31.000.000,Rwanda
2004,Outbound Expenditure,Travel,10.000.000,Saint Kitts And Nevis
2004,Outbound Expenditure,Travel,37.000.000,Saint Lucia
2004,Outbound Expenditure,Travel,14.000.000,Saint Vincent And The Grenadines
2004,Outbound Expenditure,Passenger transport,6.500.000,Samoa
2004,Outbound Expenditure,Tourism expenditure in other countries,11.900.000,Samoa
2004,Outbound Expenditure,Travel,5.400.000,Samoa
2004,Outbound Expenditure,Passenger transport,1.500.000,Sao Tome And Principe
2004,Outbound Expenditure,Tourism expenditure in other countries,2.100.000,Sao Tome And Principe
2004,Outbound Expenditure,Travel,600.000,Sao Tome And Principe
2004,Outbound Expenditure,Travel,4.428.000.000,Saudi Arabia
2004,Outbound Expenditure,Passenger transport,81.000.000,Senegal
2004,Outbound Expenditure,Tourism expenditure in other countries,138.000.000,Senegal
2004,Outbound Expenditure,Travel,57.000.000,Senegal
2004,Outbound Expenditure,Tourism expenditure in other countries,208.000.000,Serbia
2004,Outbound Expenditure,Passenger transport,19.000.000,Seychelles
2004,Outbound Expenditure,Tourism expenditure in other countries,53.000.000,Seychelles
2004,Outbound Expenditure,Travel,34.000.000,Seychelles
2004,Outbound Expenditure,Passenger transport,300.000,Sierra Leone
2004,Outbound Expenditure,Tourism expenditure in other countries,30.300.000,Sierra Leone
2004,Outbound Expenditure,Travel,30.000.000,Sierra Leone
2004,Outbound Expenditure,Travel,9.291.000.000,Singapore
2004,Outbound Expenditure,Travel,80.000.000,Sint Maarten (Dutch Part)
2004,Outbound Expenditure,Passenger transport,155.000.000,Slovakia
2004,Outbound Expenditure,Tourism expenditure in other countries,900.000.000,Slovakia
2004,Outbound Expenditure,Travel,745.000.000,Slovakia
2004,Outbound Expenditure,Passenger transport,69.000.000,Slovenia
2004,Outbound Expenditure,Tourism expenditure in other countries,937.000.000,Slovenia
2004,Outbound Expenditure,Travel,868.000.000,Slovenia
2004,Outbound Expenditure,Passenger transport,3.300.000,Solomon Islands
2004,Outbound Expenditure,Tourism expenditure in other countries,12.300.000,Solomon Islands
2004,Outbound Expenditure,Travel,9.000.000,Solomon Islands
2004,Outbound Expenditure,Passenger transport,1.080.000.000,South Africa
2004,Outbound Expenditure,Tourism expenditure in other countries,4.237.000.000,South Africa
2004,Outbound Expenditure,Travel,3.157.000.000,South Africa
2004,Outbound Expenditure,Passenger transport,203.000.000,Sri Lanka
2004,Outbound Expenditure,Tourism expenditure in other countries,499.000.000,Sri Lanka
2004,Outbound Expenditure,Travel,296.000.000,Sri Lanka
2004,Outbound Expenditure,Passenger transport,8.000.000,State Of Palestine
2004,Outbound Expenditure,Tourism expenditure in other countries,336.000.000,State Of Palestine
2004,Outbound Expenditure,Travel,328.000.000,State Of Palestine
2004,Outbound Expenditure,Travel,176.000.000,Sudan
2004,Outbound Expenditure,Passenger transport,71.000.000,Suriname
2004,Outbound Expenditure,Tourism expenditure in other countries,85.000.000,Suriname
2004,Outbound Expenditure,Travel,14.000.000,Suriname
2004,Outbound Expenditure,Passenger transport,923.000.000,Sweden
2004,Outbound Expenditure,Tourism expenditure in other countries,11.088.000.000,Sweden
2004,Outbound Expenditure,Travel,10.165.000.000,Sweden
2004,Outbound Expenditure,Passenger transport,1.957.000.000,Switzerland
2004,Outbound Expenditure,Tourism expenditure in other countries,10.518.000.000,Switzerland
2004,Outbound Expenditure,Travel,8.561.000.000,Switzerland
2004,Outbound Expenditure,Passenger transport,38.000.000,Syrian Arab Republic
2004,Outbound Expenditure,Tourism expenditure in other countries,688.000.000,Syrian Arab Republic
2004,Outbound Expenditure,Travel,650.000.000,Syrian Arab Republic
2004,Outbound Expenditure,Passenger transport,1.206.000.000,Taiwan Province Of China
2004,Outbound Expenditure,Tourism expenditure in other countries,9.376.000.000,Taiwan Province Of China
2004,Outbound Expenditure,Travel,8.170.000.000,Taiwan Province Of China
2004,Outbound Expenditure,Travel,3.400.000,Tajikistan
2004,Outbound Expenditure,Passenger transport,25.000.000,"Tanzania, United Republic Of"
2004,Outbound Expenditure,Tourism expenditure in other countries,470.000.000,"Tanzania, United Republic Of"
2004,Outbound Expenditure,Travel,445.000.000,"Tanzania, United Republic Of"
2004,Outbound Expenditure,Passenger transport,829.000.000,Thailand
2004,Outbound Expenditure,Tourism expenditure in other countries,5.343.000.000,Thailand
2004,Outbound Expenditure,Travel,4.514.000.000,Thailand
2004,Outbound Expenditure,Passenger transport,30.000.000,Togo
2004,Outbound Expenditure,Tourism expenditure in other countries,38.000.000,Togo
2004,Outbound Expenditure,Travel,8.000.000,Togo
2004,Outbound Expenditure,Passenger transport,10.100.000,Tonga
2004,Outbound Expenditure,Tourism expenditure in other countries,16.200.000,Tonga
2004,Outbound Expenditure,Travel,6.100.000,Tonga
2004,Outbound Expenditure,Passenger transport,45.000.000,Trinidad And Tobago
2004,Outbound Expenditure,Tourism expenditure in other countries,141.000.000,Trinidad And Tobago
2004,Outbound Expenditure,Travel,96.000.000,Trinidad And Tobago
2004,Outbound Expenditure,Passenger transport,87.000.000,Tunisia
2004,Outbound Expenditure,Tourism expenditure in other countries,427.000.000,Tunisia
2004,Outbound Expenditure,Travel,340.000.000,Tunisia
2004,Outbound Expenditure,Passenger transport,800.000,Tuvalu
2004,Outbound Expenditure,Tourism expenditure in other countries,4.600.000,Tuvalu
2004,Outbound Expenditure,Travel,3.800.000,Tuvalu
2004,Outbound Expenditure,Travel,2.524.000.000,Türkiye
2004,Outbound Expenditure,Passenger transport,50.000.000,Uganda
2004,Outbound Expenditure,Tourism expenditure in other countries,158.000.000,Uganda
2004,Outbound Expenditure,Travel,108.000.000,Uganda
2004,Outbound Expenditure,Passenger transport,197.000.000,Ukraine
2004,Outbound Expenditure,Tourism expenditure in other countries,2.660.000.000,Ukraine
2004,Outbound Expenditure,Travel,2.463.000.000,Ukraine
2004,Outbound Expenditure,Tourism expenditure in other countries,4.472.000.000,United Arab Emirates
2004,Outbound Expenditure,Travel,62.933.000.000,United Kingdom
2004,Outbound Expenditure,Passenger transport,23.011.000.000,United States Of America
2004,Outbound Expenditure,Tourism expenditure in other countries,93.343.000.000,United States Of America
2004,Outbound Expenditure,Travel,70.332.000.000,United States Of America
2004,Outbound Expenditure,Passenger transport,73.000.000,Uruguay
2004,Outbound Expenditure,Tourism expenditure in other countries,267.000.000,Uruguay
2004,Outbound Expenditure,Travel,194.000.000,Uruguay
2004,Outbound Expenditure,Passenger transport,2.000.000,Vanuatu
2004,Outbound Expenditure,Tourism expenditure in other countries,15.000.000,Vanuatu
2004,Outbound Expenditure,Travel,13.000.000,Vanuatu
2004,Outbound Expenditure,Passenger transport,527.000.000,"Venezuela, Bolivarian Republic Of"
2004,Outbound Expenditure,Tourism expenditure in other countries,1.604.000.000,"Venezuela, Bolivarian Republic Of"
2004,Outbound Expenditure,Travel,1.077.000.000,"Venezuela, Bolivarian Republic Of"
2004,Outbound Expenditure,Passenger transport,57.000.000,Yemen
2004,Outbound Expenditure,Tourism expenditure in other countries,183.000.000,Yemen
2004,Outbound Expenditure,Travel,126.000.000,Yemen
2004,Outbound Expenditure,Passenger transport,31.000.000,Zambia
2004,Outbound Expenditure,Tourism expenditure in other countries,86.000.000,Zambia
2004,Outbound Expenditure,Travel,55.000.000,Zambia
2005,Outbound Expenditure,Passenger transport,22.000.000,Albania
2005,Outbound Expenditure,Tourism expenditure in other countries,808.000.000,Albania
2005,Outbound Expenditure,Travel,786.000.000,Albania
2005,Outbound Expenditure,Passenger transport,290.000.000,Algeria
2005,Outbound Expenditure,Tourism expenditure in other countries,660.000.000,Algeria
2005,Outbound Expenditure,Travel,370.000.000,Algeria
2005,Outbound Expenditure,Passenger transport,61.000.000,Angola
2005,Outbound Expenditure,Tourism expenditure in other countries,135.000.000,Angola
2005,Outbound Expenditure,Travel,74.000.000,Angola
2005,Outbound Expenditure,Travel,10.000.000,Anguilla
2005,Outbound Expenditure,Travel,40.000.000,Antigua And Barbuda
2005,Outbound Expenditure,Passenger transport,764.000.000,Argentina
2005,Outbound Expenditure,Tourism expenditure in other countries,3.554.000.000,Argentina
2005,Outbound Expenditure,Travel,2.790.000.000,Argentina
2005,Outbound Expenditure,Passenger transport,48.000.000,Armenia
2005,Outbound Expenditure,Tourism expenditure in other countries,255.000.000,Armenia
2005,Outbound Expenditure,Travel,207.000.000,Armenia
2005,Outbound Expenditure,Passenger transport,24.000.000,Aruba
2005,Outbound Expenditure,Tourism expenditure in other countries,250.000.000,Aruba
2005,Outbound Expenditure,Travel,226.000.000,Aruba
2005,Outbound Expenditure,Passenger transport,4.404.000.000,Australia
2005,Outbound Expenditure,Tourism expenditure in other countries,16.153.000.000,Australia
2005,Outbound Expenditure,Travel,11.749.000.000,Australia
2005,Outbound Expenditure,Passenger transport,1.761.000.000,Austria
2005,Outbound Expenditure,Tourism expenditure in other countries,11.077.000.000,Austria
2005,Outbound Expenditure,Travel,9.316.000.000,Austria
2005,Outbound Expenditure,Passenger transport,24.000.000,Azerbaijan
2005,Outbound Expenditure,Tourism expenditure in other countries,188.000.000,Azerbaijan
2005,Outbound Expenditure,Travel,164.000.000,Azerbaijan
2005,Outbound Expenditure,Passenger transport,184.000.000,Bahamas
2005,Outbound Expenditure,Tourism expenditure in other countries,528.000.000,Bahamas
2005,Outbound Expenditure,Travel,344.000.000,Bahamas
2005,Outbound Expenditure,Passenger transport,160.000.000,Bahrain
2005,Outbound Expenditure,Tourism expenditure in other countries,574.000.000,Bahrain
2005,Outbound Expenditure,Travel,414.000.000,Bahrain
2005,Outbound Expenditure,Passenger transport,230.000.000,Bangladesh
2005,Outbound Expenditure,Tourism expenditure in other countries,371.000.000,Bangladesh
2005,Outbound Expenditure,Travel,141.000.000,Bangladesh
2005,Outbound Expenditure,Passenger transport,57.000.000,Barbados
2005,Outbound Expenditure,Tourism expenditure in other countries,158.000.000,Barbados
2005,Outbound Expenditure,Travel,101.000.000,Barbados
2005,Outbound Expenditure,Passenger transport,68.000.000,Belarus
2005,Outbound Expenditure,Tourism expenditure in other countries,516.000.000,Belarus
2005,Outbound Expenditure,Travel,448.000.000,Belarus
2005,Outbound Expenditure,Passenger transport,1.823.000.000,Belgium
2005,Outbound Expenditure,Tourism expenditure in other countries,16.771.000.000,Belgium
2005,Outbound Expenditure,Travel,14.948.000.000,Belgium
2005,Outbound Expenditure,Passenger transport,3.000.000,Belize
2005,Outbound Expenditure,Tourism expenditure in other countries,45.000.000,Belize
2005,Outbound Expenditure,Travel,42.000.000,Belize
2005,Outbound Expenditure,Passenger transport,31.000.000,Benin
2005,Outbound Expenditure,Tourism expenditure in other countries,58.000.000,Benin
2005,Outbound Expenditure,Travel,27.000.000,Benin
2005,Outbound Expenditure,Travel,239.000.000,Bermuda
2005,Outbound Expenditure,Passenger transport,71.000.000,"Bolivia, Plurinational State Of"
2005,Outbound Expenditure,Tourism expenditure in other countries,257.000.000,"Bolivia, Plurinational State Of"
2005,Outbound Expenditure,Travel,186.000.000,"Bolivia, Plurinational State Of"
2005,Outbound Expenditure,Travel,5.000.000,Bonaire
2005,Outbound Expenditure,Passenger transport,36.000.000,Bosnia And Herzegovina
2005,Outbound Expenditure,Tourism expenditure in other countries,158.000.000,Bosnia And Herzegovina
2005,Outbound Expenditure,Travel,122.000.000,Bosnia And Herzegovina
2005,Outbound Expenditure,Passenger transport,1.000.000,Botswana
2005,Outbound Expenditure,Tourism expenditure in other countries,283.000.000,Botswana
2005,Outbound Expenditure,Travel,282.000.000,Botswana
2005,Outbound Expenditure,Passenger transport,1.185.000.000,Brazil
2005,Outbound Expenditure,Tourism expenditure in other countries,5.905.000.000,Brazil
2005,Outbound Expenditure,Travel,4.720.000.000,Brazil
2005,Outbound Expenditure,Travel,374.000.000,Brunei Darussalam
2005,Outbound Expenditure,Passenger transport,549.000.000,Bulgaria
2005,Outbound Expenditure,Tourism expenditure in other countries,1.858.000.000,Bulgaria
2005,Outbound Expenditure,Travel,1.309.000.000,Bulgaria
2005,Outbound Expenditure,Passenger transport,28.000.000,Burkina Faso
2005,Outbound Expenditure,Tourism expenditure in other countries,74.000.000,Burkina Faso
2005,Outbound Expenditure,Travel,46.000.000,Burkina Faso
2005,Outbound Expenditure,Passenger transport,2.000.000,Burundi
2005,Outbound Expenditure,Tourism expenditure in other countries,62.000.000,Burundi
2005,Outbound Expenditure,Travel,60.000.000,Burundi
2005,Outbound Expenditure,Passenger transport,15.000.000,Cabo Verde
2005,Outbound Expenditure,Tourism expenditure in other countries,82.000.000,Cabo Verde
2005,Outbound Expenditure,Travel,67.000.000,Cabo Verde
2005,Outbound Expenditure,Passenger transport,41.000.000,Cambodia
2005,Outbound Expenditure,Tourism expenditure in other countries,137.000.000,Cambodia
2005,Outbound Expenditure,Travel,96.000.000,Cambodia
2005,Outbound Expenditure,Passenger transport,125.000.000,Cameroon
2005,Outbound Expenditure,Tourism expenditure in other countries,480.000.000,Cameroon
2005,Outbound Expenditure,Travel,355.000.000,Cameroon
2005,Outbound Expenditure,Passenger transport,4.719.000.000,Canada
2005,Outbound Expenditure,Tourism expenditure in other countries,22.746.000.000,Canada
2005,Outbound Expenditure,Travel,18.027.000.000,Canada
2005,Outbound Expenditure,Passenger transport,2.000.000,Central African Republic
2005,Outbound Expenditure,Tourism expenditure in other countries,46.000.000,Central African Republic
2005,Outbound Expenditure,Travel,44.000.000,Central African Republic
2005,Outbound Expenditure,Passenger transport,304.000.000,Chile
2005,Outbound Expenditure,Tourism expenditure in other countries,1.114.000.000,Chile
2005,Outbound Expenditure,Travel,810.000.000,Chile
2005,Outbound Expenditure,Travel,21.759.000.000,China
2005,Outbound Expenditure,Passenger transport,435.000.000,Colombia
2005,Outbound Expenditure,Tourism expenditure in other countries,1.934.000.000,Colombia
2005,Outbound Expenditure,Travel,1.499.000.000,Colombia
2005,Outbound Expenditure,Passenger transport,9.500.000,Comoros
2005,Outbound Expenditure,Tourism expenditure in other countries,19.100.000,Comoros
2005,Outbound Expenditure,Travel,9.600.000,Comoros
2005,Outbound Expenditure,Travel,112.000.000,Congo
2005,Outbound Expenditure,Travel,54.000.000,"Congo, Democratic Republic Of The"
2005,Outbound Expenditure,Passenger transport,128.000.000,Costa Rica
2005,Outbound Expenditure,Tourism expenditure in other countries,591.000.000,Costa Rica
2005,Outbound Expenditure,Travel,463.000.000,Costa Rica
2005,Outbound Expenditure,Passenger transport,195.000.000,Cote D´Ivoire
2005,Outbound Expenditure,Tourism expenditure in other countries,549.000.000,Cote D´Ivoire
2005,Outbound Expenditure,Travel,354.000.000,Cote D´Ivoire
2005,Outbound Expenditure,Travel,755.000.000,Croatia
2005,Outbound Expenditure,Tourism expenditure in other countries,164.000.000,Curaçao
2005,Outbound Expenditure,Passenger transport,69.000.000,Cyprus
2005,Outbound Expenditure,Tourism expenditure in other countries,1.001.000.000,Cyprus
2005,Outbound Expenditure,Travel,932.000.000,Cyprus
2005,Outbound Expenditure,Passenger transport,198.000.000,Czech Republic (Czechia)
2005,Outbound Expenditure,Tourism expenditure in other countries,2.603.000.000,Czech Republic (Czechia)
2005,Outbound Expenditure,Travel,2.405.000.000,Czech Republic (Czechia)
2005,Outbound Expenditure,Travel,6.850.000.000,Denmark
2005,Outbound Expenditure,Passenger transport,11.500.000,Djibouti
2005,Outbound Expenditure,Tourism expenditure in other countries,14.400.000,Djibouti
2005,Outbound Expenditure,Travel,2.900.000,Djibouti
2005,Outbound Expenditure,Travel,10.000.000,Dominica
2005,Outbound Expenditure,Passenger transport,159.000.000,Dominican Republic
