sentiment,topic_id,document_count,percentage_in_sentiment,language_count,dominant_language,languages,is_multilingual,top_cities,top_categories,year_range,sample_text
neutro,54,2509,0.59,5,en,"{'en': 2256, 'ca': 128, 'es': 66, 'fr': 56, 'it': 3}",True,"{'Mallorca': 463, 'Gran Canaria': 437, 'Tenerife': 358, 'Malaga': 300, 'Valencia': 265}","{'Desconocido': 921, 'Tour': 900, 'Ocio': 456}","{'start': 2022, 'end': 2025}","Al principio cuando entramos había mucha gente, como tienes que ir en fila viendo los peces fue un poco agobiante, pero una vez que avanzamos hay más espacio y todo bien. Nos pareció un poco caro, es todo muy bonito pero no es grande para lo que cuesta, en una hora y media o dos lo ves todo."
positivo,13,2485,0.76,10,es,"{'es': 1312, 'en': 1043, 'fr': 44, 'it': 31, 'de': 18, 'nl': 11, 'pt': 7, 'pl': 4, 'no': 3, 'bg': 2, 'da': 2, 'sv': 2, 'ar': 2, 'el': 2, 'ro': 2}",True,"{'Barcelona': 913, 'Madrid': 571, 'Sevilla': 308, 'Malaga': 171, 'Tenerife': 167}","{'Tour': 1400, 'Playa': 306, 'Desconocido': 214}","{'start': 2012, 'end': 2025}",Amazing work of art. Its a very special place
neutro,56,2482,0.58,5,en,"{'en': 2216, 'fr': 113, 'ca': 87, 'es': 59, 'it': 7}",True,"{'Tenerife': 442, 'Gran Canaria': 388, 'Malaga': 379, 'Mallorca': 323, 'Madrid': 302}","{'Tour': 1015, 'Desconocido': 853, 'Ocio': 416}","{'start': 2022, 'end': 2025}","La struttura e’ grandissima, si trova davanti un centro commerciale e sul mare . Parcheggio privato a pagamento, ma una cifra irrisoria per tutto il giorno. Super organizzato e sistemato in modo da regalare emozioni a grandi e bambini. Esperienza unica da vivere se decidi di conoscere la citta’"
neutro,76,2461,0.58,5,en,"{'en': 2177, 'ca': 113, 'es': 99, 'fr': 68, 'it': 4}",True,"{'Gran Canaria': 523, 'Mallorca': 472, 'Malaga': 356, 'Tenerife': 305, 'Madrid': 257}","{'Tour': 1120, 'Desconocido': 798, 'Ocio': 366}","{'start': 2022, 'end': 2025}","El Tour no es tal, visita a un museo bastante simple y salida a una grada para decir que has estado en el Bernabeu..."
neutro,60,2441,0.57,5,en,"{'en': 2195, 'fr': 119, 'ca': 105, 'es': 19, 'it': 3}",True,"{'Gran Canaria': 691, 'Tenerife': 428, 'Barcelona': 353, 'Mallorca': 241, 'Madrid': 213}","{'Tour': 1002, 'Desconocido': 889, 'Ocio': 378}","{'start': 2022, 'end': 2025}","La visite est très intéressante, mais au pas de course pour laisser plus de temps à la dégustation. La guide va assez vite et n attends pas que le groupe soit autour d elle pour démarrer ses explications. 5 min de plus et ça aurait été parfait."
negativo,1,2430,2.39,12,es,"{'es': 1943, 'en': 304, 'nl': 55, 'it': 13, 'cs': 11, 'de': 11, 'sv': 10, 'pl': 10, 'fr': 8, 'da': 8, 'ro': 7, 'ru': 7, 'pt': 7, 'no': 6, 'ca': 3, 'hu': 3, 'fi': 3, 'sk': 3, 'lt': 2, 'ko': 2, 'zh-tw': 2, 'tr': 2, 'sl': 2, 'zh-cn': 2, 'he': 1, 'vi': 1, 'lv': 1, 'af': 1, 'el': 1, 'ja': 1}",True,"{'Barcelona': 667, 'Malaga': 563, 'Madrid': 525, 'Tenerife': 259, 'Sevilla': 126}","{'Tour': 918, 'Desconocido': 498, 'Playa': 320}","{'start': 2015, 'end': 2025}",Esta entrada no tiene comentarios
neutro,71,2424,0.57,5,en,"{'en': 2249, 'fr': 76, 'ca': 69, 'es': 24, 'it': 6}",True,"{'Malaga': 475, 'Tenerife': 357, 'Mallorca': 324, 'Gran Canaria': 289, 'Madrid': 285}","{'Tour': 1029, 'Desconocido': 946, 'Ocio': 324}","{'start': 2019, 'end': 2025}","Bit of a let down after previously visiting the nou camp in Barcelona which was a far better experience,if I were to visit Madrid I would look at going to the other Madrid stadium"
neutro,67,2410,0.57,5,en,"{'en': 2203, 'es': 83, 'ca': 73, 'fr': 49, 'it': 2}",True,"{'Tenerife': 579, 'Madrid': 383, 'Gran Canaria': 329, 'Valencia': 270, 'Mallorca': 259}","{'Tour': 892, 'Desconocido': 864, 'Ocio': 453}","{'start': 2017, 'end': 2025}",Una pena no poder bajar al menos al vestuario visitante y pisar el terreno de juego. Se ve pero des muy arriba. Debería tener la posibilidad de más abajo o al menos una parte del terreno como se hacía antes
neutro,58,2397,0.56,4,en,"{'en': 2077, 'ca': 126, 'es': 125, 'fr': 69}",True,"{'Barcelona': 429, 'Gran Canaria': 426, 'Tenerife': 365, 'Mallorca': 300, 'Madrid': 284}","{'Tour': 1051, 'Desconocido': 619, 'Ocio': 474}","{'start': 2021, 'end': 2025}",Me parece caro para residentes..la entrada no incluye hamaca.No hay piscina sóla de baño...sólo la de olas. y no hay duchas para bañarse.A parte cerrar a la cinco es muy pronto.Muchas zonas están hasta las siete.Por lo demás bien.
neutro,78,2380,0.56,4,en,"{'en': 2224, 'fr': 82, 'es': 47, 'ca': 27}",True,"{'Tenerife': 425, 'Gran Canaria': 330, 'Barcelona': 315, 'Mallorca': 310, 'Madrid': 293}","{'Tour': 1073, 'Desconocido': 671, 'Ocio': 417}","{'start': 2020, 'end': 2025}","La agencia es algo difícil de ubicar, nos subieron a un bus sin ninguna explicación de lo que sería el programa. En Toledo subió un guía, que conocía de Toledo, pero en la calle no llevaba micrófono y ningún distintivo para ubicarlo. Me dio la sensación que era ""rapidito"" luego mucho tiempo para seg..."
positivo,22,2376,0.73,10,es,"{'es': 1471, 'en': 747, 'fr': 50, 'de': 41, 'it': 30, 'nl': 15, 'pt': 11, 'ca': 4, 'fi': 3, 'pl': 1, 'lv': 1, 'ro': 1, 'ko': 1}",True,"{'Barcelona': 840, 'Madrid': 543, 'Sevilla': 343, 'Gran Canaria': 164, 'Tenerife': 158}","{'Tour': 1417, 'Playa': 270, 'Desconocido': 183}","{'start': 2012, 'end': 2026}","A faire absolument, de préférence dès 9h00, du coup vous êtes tranquille et vous visitez sans tous les groupes des visites guidées."
neutro,49,2361,0.56,4,en,"{'en': 2119, 'es': 123, 'fr': 68, 'ca': 51}",True,"{'Gran Canaria': 536, 'Tenerife': 442, 'Malaga': 423, 'Mallorca': 324, 'Valencia': 209}","{'Tour': 864, 'Desconocido': 820, 'Ocio': 510}","{'start': 2022, 'end': 2025}","The tour guide Manuel was great with lots of good information and tips about the area and the destinations. Our only complaint is that there there were 4 of us on the tour (5 in the car including the tour guide), but we had to squeeze 3 of us into a back seat of a small car, which was very uncomfort..."
neutro,75,2342,0.55,5,en,"{'en': 2132, 'es': 115, 'ca': 84, 'fr': 8, 'it': 3}",True,"{'Gran Canaria': 547, 'Malaga': 339, 'Madrid': 310, 'Valencia': 257, 'Tenerife': 252}","{'Tour': 1145, 'Desconocido': 603, 'Ocio': 405}","{'start': 2022, 'end': 2025}",Renovation in progress
neutro,66,2319,0.55,5,en,"{'en': 2029, 'es': 131, 'ca': 110, 'fr': 46, 'it': 3}",True,"{'Tenerife': 477, 'Gran Canaria': 376, 'Mallorca': 326, 'Barcelona': 312, 'Madrid': 247}","{'Tour': 817, 'Desconocido': 746, 'Ocio': 512}","{'start': 2019, 'end': 2025}",Tutto affascinante solo che non si può far visitare uno stadio con il campo smontato senza manto erboso peccato davvero perde tutto il suo fascino
neutro,59,2305,0.54,5,en,"{'en': 2200, 'es': 51, 'ca': 39, 'fr': 12, 'it': 3}",True,"{'Gran Canaria': 577, 'Tenerife': 296, 'Barcelona': 290, 'Malaga': 282, 'Madrid': 253}","{'Tour': 1078, 'Desconocido': 699, 'Ocio': 371}","{'start': 2022, 'end': 2025}","El comienzo de la visita prometia pero luego se quedo en nada. Muy sosa la visita, con poco desarrollo"
neutro,69,2292,0.54,5,en,"{'en': 2005, 'es': 137, 'ca': 82, 'fr': 63, 'it': 5}",True,"{'Tenerife': 486, 'Gran Canaria': 340, 'Mallorca': 319, 'Malaga': 316, 'Madrid': 255}","{'Desconocido': 869, 'Tour': 808, 'Ocio': 385}","{'start': 2020, 'end': 2025}","Stade en travaux complet , donc dommage pas de pelouse."
neutro,68,2271,0.53,5,en,"{'en': 2012, 'fr': 100, 'es': 88, 'ca': 68, 'it': 3}",True,"{'Gran Canaria': 416, 'Mallorca': 391, 'Tenerife': 375, 'Malaga': 243, 'Barcelona': 224}","{'Tour': 925, 'Desconocido': 734, 'Ocio': 408}","{'start': 2022, 'end': 2025}","Lo stadio è stupendo, unica pecca è che ancora in fase di completamento e quindi c'è poco da visitare"
neutro,73,2253,0.53,4,en,"{'en': 2091, 'es': 59, 'fr': 55, 'ca': 48}",True,"{'Tenerife': 438, 'Gran Canaria': 422, 'Mallorca': 323, 'Malaga': 252, 'Barcelona': 240}","{'Tour': 804, 'Desconocido': 788, 'Ocio': 493}","{'start': 2022, 'end': 2025}","Would have liked to see more of the ground I.e changing rooms , press conference area . But enjoyed the experience"
neutro,80,2222,0.52,4,en,"{'en': 2073, 'ca': 58, 'fr': 47, 'es': 44}",True,"{'Tenerife': 526, 'Gran Canaria': 446, 'Barcelona': 292, 'Mallorca': 275, 'Malaga': 266}","{'Tour': 891, 'Desconocido': 856, 'Ocio': 300}","{'start': 2022, 'end': 2025}",cities in northern spain in summer trip report during my trip last year in andalusia a barber in seville said that i had to go visit the north in the summer so i did trip length days from the middle until end of july destinations bilbao san sebastián pamplona vitoriagasteiz león oviedo santander bil...
positivo,28,2213,0.68,8,es,"{'es': 1503, 'en': 585, 'it': 38, 'fr': 37, 'pt': 15, 'nl': 15, 'de': 14, 'cs': 2, 'af': 1, 'pl': 1, 'fi': 1, 'sv': 1}",True,"{'Barcelona': 726, 'Madrid': 497, 'Sevilla': 322, 'Malaga': 243, 'Tenerife': 194}","{'Tour': 1282, 'Playa': 245, 'Desconocido': 198}","{'start': 2012, 'end': 2025}",It was easy to use and beneficial for us.
neutro,96,2197,0.52,4,en,"{'en': 1971, 'ca': 118, 'fr': 57, 'es': 51}",True,"{'Gran Canaria': 483, 'Mallorca': 385, 'Tenerife': 385, 'Malaga': 294, 'Valencia': 257}","{'Tour': 1089, 'Desconocido': 799, 'Ocio': 239}","{'start': 2022, 'end': 2025}",local experiences in malaga an unforgettable cultural experience
neutro,84,2182,0.51,4,en,"{'en': 1997, 'ca': 95, 'es': 63, 'fr': 27}",True,"{'Tenerife': 358, 'Gran Canaria': 346, 'Barcelona': 307, 'Mallorca': 267, 'Malaga': 260}","{'Desconocido': 755, 'Tour': 741, 'Ocio': 467}","{'start': 2019, 'end': 2025}",weeks mayjune having second thoughts on weeks valencia current itinerary weeks torre del mar area have plenty planned from hiking to beaches to villages to nightlife weeks valencia currently have maybe enough activities for days cuenca turuel xabia murcia alicante are all possiblities for day trips ...
neutro,88,2166,0.51,4,en,"{'en': 1982, 'es': 99, 'ca': 51, 'fr': 34}",True,"{'Tenerife': 520, 'Gran Canaria': 345, 'Mallorca': 281, 'Barcelona': 234, 'Malaga': 226}","{'Tour': 1000, 'Desconocido': 665, 'Ocio': 306}","{'start': 2012, 'end': 2025}",Barcelona: Tour En Bicicleta De Medio Dia Hemos tomado excursiones en bicicleta en varias ciudades de europa. Recomiendo encarecidamente excursiones en bicicleta porque puedes ver mas que a pie en menos tiempo y puedes llegar a los rincones y crannys que no puedes ver en autobus. Fat bike tours no n...
neutro,95,2149,0.51,4,en,"{'en': 2042, 'es': 44, 'ca': 42, 'fr': 21}",True,"{'Gran Canaria': 543, 'Mallorca': 284, 'Tenerife': 275, 'Malaga': 271, 'Barcelona': 230}","{'Tour': 982, 'Desconocido': 595, 'Ocio': 437}","{'start': 2022, 'end': 2025}",excursions day trips in madrid spectacular scenery and great staff
neutro,86,2135,0.5,4,en,"{'en': 1935, 'ca': 116, 'es': 44, 'fr': 40}",True,"{'Gran Canaria': 382, 'Malaga': 371, 'Barcelona': 299, 'Mallorca': 294, 'Tenerife': 288}","{'Tour': 856, 'Desconocido': 792, 'Ocio': 321}","{'start': 2022, 'end': 2025}","Paseo Por La Bahia De Malaga En Gran Catamaran A Vela Pagamos 60eur para 4 personas !Me hubiera gustado una sesion informativa de seguridad ya que no sabiamos que tan lejos estaba (1 hora) del puerto! !Ademas, los casilleros de seguridad tenian candados! Deberia haber un miembro permanente del perso..."
positivo,29,2130,0.65,9,es,"{'es': 1473, 'en': 540, 'fr': 50, 'de': 20, 'pt': 18, 'it': 14, 'ca': 5, 'ru': 3, 'ro': 3, 'sk': 2, 'cs': 2}",True,"{'Barcelona': 686, 'Madrid': 452, 'Sevilla': 296, 'Malaga': 261, 'Valencia': 132}","{'Tour': 1247, 'Playa': 225, 'Desconocido': 207}","{'start': 2012, 'end': 2025}",Well worth a visit and listening to the audio. Stunning design and Gaudi was so clever.
neutro,85,2125,0.5,4,en,"{'en': 1980, 'ca': 56, 'es': 48, 'fr': 41}",True,"{'Gran Canaria': 483, 'Tenerife': 358, 'Mallorca': 297, 'Barcelona': 239, 'Madrid': 207}","{'Tour': 797, 'Desconocido': 709, 'Ocio': 439}","{'start': 2013, 'end': 2025}",cities about inner courtyards i sometimes imagine cities or urban sprawls in which streets are more or less hidden and life happens in the inner courtyards of the blocks a city where its not about traffic but which is hidden in narrow service channels between blocks still serving public and individu...
neutro,82,2108,0.5,4,en,"{'en': 1906, 'ca': 94, 'es': 74, 'fr': 34}",True,"{'Gran Canaria': 501, 'Tenerife': 339, 'Malaga': 326, 'Mallorca': 269, 'Madrid': 209}","{'Desconocido': 815, 'Tour': 639, 'Ocio': 482}","{'start': 2022, 'end': 2025}",techno clubs gran canaria are there any clubs at the island which playing techno here we are here for a few days and would like to party
neutro,92,2093,0.49,5,en,"{'en': 1936, 'fr': 78, 'ca': 50, 'es': 27, 'it': 2}",True,"{'Gran Canaria': 459, 'Malaga': 411, 'Tenerife': 329, 'Mallorca': 318, 'Barcelona': 273}","{'Tour': 1044, 'Desconocido': 697, 'Ocio': 231}","{'start': 2019, 'end': 2025}","Excursion En Tuk Tuk - Doble. We took the two hour private trip, which was good just the two of us. Our driver was limited in his knowledge, he wasn't from the island and as soon as we stopped for anything he lit up a cigarette and chain smoked. The tour was padded out by stops, slightly disappointe..."
neutro,100,2075,0.49,4,en,"{'en': 1925, 'ca': 55, 'fr': 48, 'es': 47}",True,"{'Gran Canaria': 403, 'Tenerife': 355, 'Malaga': 347, 'Barcelona': 218, 'Valencia': 207}","{'Desconocido': 836, 'Tour': 833, 'Ocio': 245}","{'start': 2022, 'end': 2025}",transfers in valencia an unforgettable cultural experience
neutro,93,2058,0.48,4,en,"{'en': 1952, 'ca': 49, 'es': 30, 'fr': 27}",True,"{'Gran Canaria': 443, 'Tenerife': 421, 'Malaga': 276, 'Mallorca': 269, 'Madrid': 203}","{'Tour': 1025, 'Desconocido': 599, 'Ocio': 318}","{'start': 2022, 'end': 2025}","Entrada Oficial Sin Colas Al Real Alcazar Beautiful place to visit. The tickets were easy to purchase ahead of time and we arrived 18 min early and were allowed access to go inside exactly 3 minutes later. They did not check our passports as stated on ticket instructions, but i'd bring them just in ..."
neutro,99,2037,0.48,4,en,"{'en': 1946, 'es': 44, 'fr': 26, 'ca': 21}",True,"{'Tenerife': 426, 'Mallorca': 336, 'Gran Canaria': 312, 'Barcelona': 253, 'Malaga': 241}","{'Tour': 1073, 'Desconocido': 491, 'Ocio': 287}","{'start': 2022, 'end': 2025}",excursions day trips in tenerife great value for money and very well organized
neutro,83,2019,0.48,4,en,"{'en': 1812, 'ca': 86, 'fr': 63, 'es': 58}",True,"{'Tenerife': 410, 'Mallorca': 363, 'Gran Canaria': 338, 'Malaga': 289, 'Barcelona': 242}","{'Tour': 993, 'Desconocido': 547, 'Ocio': 354}","{'start': 2022, 'end': 2025}",porque los sindicatos no convocan manifestaciones precios altos de canasta familiar alquileres por los cielos ves los subreddits de europa y todo lleno de protestas en serbia bulgaria rumanía alemania por fines políticos porque no se llaman a las calles constantemente simplemente exigir mejores cond...
neutro,98,2013,0.47,4,en,"{'en': 1840, 'ca': 93, 'es': 54, 'fr': 26}",True,"{'Tenerife': 402, 'Mallorca': 365, 'Malaga': 301, 'Gran Canaria': 279, 'Barcelona': 219}","{'Tour': 969, 'Desconocido': 561, 'Ocio': 350}","{'start': 2022, 'end': 2025}",excursions day trips in valencia the best part of my trip to spain
positivo,36,2002,0.61,8,es,"{'es': 1313, 'en': 615, 'de': 16, 'it': 13, 'fr': 12, 'nl': 12, 'pl': 5, 'pt': 5, 'no': 2, 'ca': 2, 'hr': 2, 'ru': 1, 'lv': 1, 'fi': 1, 'lt': 1, 'ro': 1}",True,"{'Barcelona': 586, 'Madrid': 452, 'Sevilla': 296, 'Malaga': 272, 'Tenerife': 125}","{'Tour': 1262, 'Playa': 208, 'Desconocido': 176}","{'start': 2012, 'end': 2025}",The transit bus took us to the train At the base if the mountain Then to the monastery We stopped there and toured the cathedral where she the Black Madonna is on display Total religious experience Sort of a renewed faith Deeply touched The monks I estimate about another 1000 Centimeters we were at ...
neutro,90,1995,0.47,4,en,"{'en': 1822, 'fr': 91, 'ca': 66, 'es': 16}",True,"{'Tenerife': 358, 'Gran Canaria': 357, 'Barcelona': 259, 'Malaga': 256, 'Mallorca': 221}","{'Tour': 1016, 'Desconocido': 649, 'Ocio': 209}","{'start': 2013, 'end': 2025}",Barcelona: Tour En Bicicleta De Medio Dia Como otros que hemos disfrutado anteriormente fat tire como una manera de ver una gran parte de la ciudad rapidamente y con guias de diversion mientras trasatlanticos urbanos. Vimos muchos de los sitios de interes y nuestro guia jd no solo era un apasionado ...
neutro,89,1979,0.47,4,en,"{'en': 1675, 'es': 108, 'ca': 101, 'fr': 95}",True,"{'Tenerife': 544, 'Gran Canaria': 319, 'Barcelona': 297, 'Malaga': 242, 'Mallorca': 232}","{'Desconocido': 724, 'Tour': 694, 'Ocio': 327}","{'start': 2014, 'end': 2025}","Barcelona: Tour En Bicicleta De Medio Dia Pre-reserva y antes de llegar en barca, era punto de encuentro en el centro plaza principal de la ciudad, guia era ben que entregan las bicicletas y nos dio el discurso habitual de seguridad. Hicimos la excursion de 4 horas, que era muy bueno, ben fue muy in..."
neutro,94,1961,0.46,4,en,"{'en': 1855, 'fr': 55, 'ca': 40, 'es': 11}",True,"{'Tenerife': 371, 'Gran Canaria': 359, 'Malaga': 348, 'Barcelona': 240, 'Mallorca': 193}","{'Tour': 902, 'Desconocido': 650, 'Ocio': 298}","{'start': 2022, 'end': 2025}",tickets and events in tenerife absolutely loved this experience
neutro,97,1941,0.46,4,en,"{'en': 1805, 'ca': 71, 'fr': 45, 'es': 20}",True,"{'Gran Canaria': 497, 'Malaga': 358, 'Tenerife': 276, 'Mallorca': 258, 'Barcelona': 163}","{'Tour': 867, 'Desconocido': 717, 'Ocio': 279}","{'start': 2022, 'end': 2025}",local experiences in tenerife spectacular scenery and great staff
neutro,87,1930,0.45,4,en,"{'en': 1794, 'ca': 60, 'es': 53, 'fr': 23}",True,"{'Gran Canaria': 457, 'Malaga': 310, 'Barcelona': 264, 'Mallorca': 214, 'Madrid': 213}","{'Tour': 873, 'Desconocido': 602, 'Ocio': 255}","{'start': 2014, 'end': 2025}","Barcelona: Tour En Bicicleta De Medio Dia El punto de encuentro es facil de encontrar, las bicicletas son comodas y estan muy bien cuidados y la ruta es bastante plana, aparte de una altura relativamente suave hasta la sagrada familia. Nuestro guia era informativa paula con algunos toques de buen hu..."
neutro,91,1919,0.45,4,en,"{'en': 1742, 'ca': 75, 'es': 64, 'fr': 38}",True,"{'Tenerife': 340, 'Barcelona': 292, 'Mallorca': 285, 'Malaga': 230, 'Valencia': 221}","{'Tour': 928, 'Desconocido': 615, 'Ocio': 174}","{'start': 2019, 'end': 2025}","Gran Recorrido En Segway En Barcelona The guide has so much information about these places, and can answer your questions. Without this, you will have no idea what you are looking at or why ! Also, make sure you get the cut the line option...It was ""off season"" and the line was very very long to get..."
neutro,81,1902,0.45,4,en,"{'en': 1728, 'fr': 65, 'ca': 60, 'es': 49}",True,"{'Tenerife': 417, 'Gran Canaria': 317, 'Malaga': 273, 'Mallorca': 197, 'Barcelona': 195}","{'Tour': 935, 'Desconocido': 503, 'Ocio': 310}","{'start': 2022, 'end': 2025}",my experience of travelling across madeira i decided to take a short vacation in madeira along with my friends during this summer and wanted to share my experience if it proves to be helpful to someone admittedly i didnt know much about madeira before one of my friendswho is a cr fan proposed the id...
neutro,138,1873,0.44,4,en,"{'en': 1768, 'fr': 55, 'ca': 31, 'es': 19}",True,"{'Malaga': 373, 'Gran Canaria': 312, 'Tenerife': 266, 'Barcelona': 261, 'Madrid': 201}","{'Tour': 1038, 'Desconocido': 508, 'Ocio': 242}","{'start': 2022, 'end': 2025}",excursions day trips in malaga absolutely loved this experience
positivo,31,1869,0.57,10,es,"{'es': 1150, 'en': 632, 'fr': 36, 'de': 13, 'pt': 10, 'da': 8, 'it': 6, 'nl': 5, 'hu': 3, 'sl': 2, 'fi': 2, 'sk': 2}",True,"{'Barcelona': 547, 'Madrid': 378, 'Sevilla': 313, 'Malaga': 236, 'Tenerife': 145}","{'Tour': 1040, 'Playa': 229, 'Desconocido': 217}","{'start': 2012, 'end': 2025}",Imperdible experiencia Park Güell Super recomendable hacerlo con guía Fue encantador!! Ameno y entretenido. Luego podés recorrerlo sólo el tirmpo que quieras. Calzado cómodo y agua.
neutro,112,1850,0.44,4,en,"{'en': 1689, 'ca': 86, 'es': 49, 'fr': 26}",True,"{'Gran Canaria': 426, 'Tenerife': 357, 'Mallorca': 306, 'Barcelona': 205, 'Malaga': 203}","{'Tour': 835, 'Desconocido': 632, 'Ocio': 292}","{'start': 2022, 'end': 2025}",local experiences in madrid an unforgettable cultural experience
neutro,104,1827,0.43,4,en,"{'en': 1690, 'fr': 58, 'ca': 52, 'es': 27}",True,"{'Gran Canaria': 347, 'Tenerife': 332, 'Barcelona': 265, 'Mallorca': 261, 'Malaga': 231}","{'Tour': 947, 'Desconocido': 407, 'Ocio': 357}","{'start': 2022, 'end': 2025}",attractions guided tours in madrid not what i expected but still enjoyable
neutro,108,1817,0.43,4,en,"{'en': 1750, 'fr': 40, 'es': 19, 'ca': 8}",True,"{'Gran Canaria': 423, 'Tenerife': 338, 'Mallorca': 256, 'Malaga': 223, 'Sevilla': 169}","{'Tour': 919, 'Desconocido': 519, 'Ocio': 344}","{'start': 2022, 'end': 2025}",excursions day trips in gran canaria worth every penny highly recommend it
positivo,37,1817,0.56,10,es,"{'es': 1124, 'en': 594, 'it': 29, 'fr': 22, 'de': 17, 'pt': 7, 'ca': 4, 'nl': 3, 'pl': 3, 'lt': 3, 'tr': 3, 'sk': 2, 'ru': 1, 'hu': 1, 'cs': 1, 'ja': 1, 'da': 1, 'ro': 1}",True,"{'Barcelona': 587, 'Madrid': 320, 'Sevilla': 243, 'Gran Canaria': 193, 'Malaga': 160}","{'Tour': 1167, 'Playa': 184, 'Desconocido': 142}","{'start': 2013, 'end': 2025}",enjoyed trip w Ivan lots of info re tour site. wine tour informative and fun as well. tapas linch was ok
neutro,110,1807,0.43,4,en,"{'en': 1673, 'fr': 58, 'ca': 45, 'es': 31}",True,"{'Tenerife': 365, 'Gran Canaria': 330, 'Barcelona': 300, 'Malaga': 252, 'Mallorca': 197}","{'Tour': 831, 'Desconocido': 463, 'Ocio': 325}","{'start': 2022, 'end': 2025}",transfers in tenerife a bit rushed but overall good
neutro,103,1791,0.42,4,en,"{'en': 1657, 'ca': 74, 'fr': 39, 'es': 21}",True,"{'Gran Canaria': 342, 'Tenerife': 259, 'Barcelona': 249, 'Malaga': 242, 'Madrid': 229}","{'Tour': 982, 'Desconocido': 425, 'Ocio': 245}","{'start': 2022, 'end': 2025}",local experiences in palma de mallorca a bit rushed but overall good
neutro,139,1781,0.42,4,en,"{'en': 1639, 'es': 53, 'ca': 51, 'fr': 38}",True,"{'Tenerife': 380, 'Malaga': 322, 'Gran Canaria': 269, 'Mallorca': 221, 'Sevilla': 189}","{'Tour': 1011, 'Desconocido': 407, 'Ocio': 232}","{'start': 2022, 'end': 2025}",excursions day trips in malaga a bit rushed but overall good
neutro,127,1766,0.42,4,en,"{'en': 1677, 'ca': 51, 'es': 32, 'fr': 6}",True,"{'Gran Canaria': 341, 'Tenerife': 333, 'Malaga': 328, 'Mallorca': 231, 'Barcelona': 210}","{'Tour': 766, 'Desconocido': 545, 'Ocio': 304}","{'start': 2022, 'end': 2025}",local experiences in palma de mallorca great value for money and very well organized
positivo,33,1750,0.54,9,es,"{'es': 1228, 'en': 428, 'it': 30, 'fr': 29, 'pt': 14, 'cs': 5, 'pl': 5, 'de': 4, 'ca': 2, 'id': 2, 'nl': 2, 'ru': 1}",True,"{'Barcelona': 603, 'Madrid': 349, 'Sevilla': 286, 'Tenerife': 168, 'Gran Canaria': 154}","{'Tour': 1048, 'Desconocido': 162, 'Hotel': 123}","{'start': 2012, 'end': 2025}",Such an amazing house inside and out ! The cube room at the end was an amazing experience !
neutro,105,1744,0.41,4,en,"{'en': 1588, 'es': 70, 'ca': 46, 'fr': 40}",True,"{'Malaga': 368, 'Tenerife': 300, 'Barcelona': 289, 'Gran Canaria': 236, 'Mallorca': 205}","{'Tour': 682, 'Desconocido': 560, 'Ocio': 299}","{'start': 2022, 'end': 2025}",attractions guided tours in barcelona a bit rushed but overall good
neutro,102,1727,0.41,4,en,"{'en': 1620, 'fr': 46, 'ca': 39, 'es': 22}",True,"{'Malaga': 319, 'Barcelona': 303, 'Gran Canaria': 251, 'Mallorca': 244, 'Madrid': 179}","{'Tour': 824, 'Desconocido': 452, 'Ocio': 254}","{'start': 2022, 'end': 2025}",excursions day trips in malaga too crowded but the views were stunning
neutro,101,1717,0.4,4,en,"{'en': 1570, 'fr': 90, 'es': 29, 'ca': 28}",True,"{'Barcelona': 310, 'Malaga': 310, 'Tenerife': 265, 'Mallorca': 243, 'Madrid': 173}","{'Tour': 732, 'Desconocido': 555, 'Vida_nocturna': 223}","{'start': 2022, 'end': 2025}",attractions guided tours in gran canaria great value for money and very well organized
neutro,115,1702,0.4,4,en,"{'en': 1616, 'es': 53, 'ca': 28, 'fr': 5}",True,"{'Mallorca': 356, 'Malaga': 280, 'Barcelona': 227, 'Gran Canaria': 226, 'Sevilla': 218}","{'Tour': 939, 'Desconocido': 291, 'Ocio': 285}","{'start': 2022, 'end': 2025}",attractions guided tours in palma de mallorca not what i expected but still enjoyable
neutro,120,1688,0.4,4,en,"{'en': 1495, 'ca': 106, 'es': 50, 'fr': 37}",True,"{'Gran Canaria': 376, 'Tenerife': 324, 'Mallorca': 243, 'Malaga': 236, 'Sevilla': 232}","{'Tour': 764, 'Desconocido': 562, 'Ocio': 262}","{'start': 2022, 'end': 2025}",excursions day trips in palma de mallorca an unforgettable cultural experience
positivo,30,1679,0.51,10,es,"{'es': 1142, 'en': 466, 'fr': 15, 'it': 13, 'de': 12, 'pt': 10, 'ro': 5, 'ca': 3, 'el': 2, 'sw': 2, 'nl': 2, 'ko': 1, 'sv': 1, 'no': 1, 'hr': 1, 'hu': 1, 'ar': 1, 'da': 1}",True,"{'Barcelona': 527, 'Madrid': 314, 'Sevilla': 240, 'Malaga': 205, 'Tenerife': 181}","{'Tour': 988, 'Desconocido': 283, 'Playa': 163}","{'start': 2012, 'end': 2025}",Paula did a great job giving information about the park without getting too bogged down in the details and keeping it fun! Good pace and kept group moving and interested!!
neutro,117,1676,0.39,3,en,"{'en': 1614, 'fr': 34, 'ca': 28}",True,"{'Gran Canaria': 392, 'Tenerife': 341, 'Malaga': 326, 'Sevilla': 160, 'Barcelona': 157}","{'Tour': 823, 'Desconocido': 477, 'Ocio': 296}","{'start': 2022, 'end': 2025}",transfers in malaga spectacular scenery and great staff
